Province,Total (1-12),,
,Female,Male,Total
Province 1,18179,35638,53817
Province 2,6339,19866,26205
Province 3,39865,46294,86159
Gandaki,18394,27519,45913
Province 5,22966,38056,61022
Karnali,5918,14674,20592
Province 7,8395,23416,31811
